ISO3,Country,Year,A200 Domestic public security,A2011 Control over the police,A2041 Violent activities: criminal organisations,A305 Functioning of the justice system,A600 Security of property rights,A601 Security of private contracts,A602 Trade justice,A604 Termination of contracts by the State,B607 Efficiency of land tenure policies,B608 Land tenure insecurity
AFG,Afghanistan,2016,1.00,2,1,1.40,,3.00,2.50,0.50,1.50,3.50
ZAF,South Africa,2016,2.50,3,3,3.20,2.75,4.00,3.50,1.00,2.50,1.50
ALB,Albania,2016,3.00,3,2,2.00,1.75,1.00,1.25,3.00,2.50,2.00
DEU,Germany,2016,4.00,4,0,3.80,3.00,4.00,4.00,1.00,2.00,4.00
DZA,Algeria,2016,3.00,3,3,1.60,2.25,2.00,1.50,1.00,2.00,1.50
AGO,Angola,2016,3.00,4,2,1.80,2.00,1.50,0.75,2.00,1.50,1.25
SAU,Saudi Arabia,2016,4.00,4,4,2.00,1.75,2.50,2.00,2.50,0.50,1.50
ARG,Argentina,2016,2.50,2,2,2.60,1.75,1.50,1.75,1.50,3.00,1.50
ARM,Armenia,2016,3.50,4,2,1.40,3.00,2.50,1.75,1.00,1.00,3.25
AUS,Australia,2016,4.00,4,3,3.80,3.25,3.50,4.00,0.00,3.00,3.50
AUT,Austria,2016,4.00,4,4,3.60,,4.00,3.75,0.00,,3.50
AZE,Azerbaijan,2016,3.50,3,4,2.00,2.75,3.00,1.25,2.00,1.00,1.25
BHR,Bahrain,2016,3.50,4,2,2.60,2.50,4.00,1.25,2.00,1.50,3.50
BGD,Bangladesh,2016,2.50,4,3,1.80,2.75,2.00,1.50,1.00,2.00,1.50
BLR,Belarus,2016,3.50,4,2,2.60,2.25,2.00,2.50,2.00,2.00,2.00
BEL,Belgium,2016,4.00,4,4,3.40,2.50,4.00,3.75,0.00,3.00,2.75
BEN,Benin,2016,2.50,3,3,1.60,2.50,2.00,1.00,2.50,1.00,1.25
MMR,Myanmar,2016,3.00,2,2,2.40,,2.50,,1.50,2.50,0.75
BOL,Bolivia,2016,3.00,3,2,1.40,2.50,2.00,1.75,1.00,3.00,2.00
BIH,Bosnia and Herzegovina,2016,3.50,3,3,3.00,2.50,3.00,3.25,1.00,1.50,3.50
BRA,Brazil,2016,0.50,1,1,3.00,2.75,2.50,3.25,1.50,2.50,1.00
BRN,Brunei,2016,3.50,4,3,1.80,1.75,2.00,1.25,0.00,1.50,3.75
BGR,Bulgaria,2016,3.50,3,3,2.00,,2.50,1.75,3.00,2.50,2.75
BFA,Burkina Faso,2016,2.50,3,2,2.00,2.00,2.00,2.50,1.00,2.00,1.25
BDI,Burundi,2016,1.50,3,3,0.40,1.75,1.00,0.25,3.00,0.00,1.00
KHM,Cambodia,2016,2.50,2,3,1.20,1.75,2.50,1.00,1.50,1.50,1.75
CMR,Cameroon,2016,3.00,3,2,1.00,,1.00,1.00,2.00,1.50,1.00
CAN,Canada,2016,4.00,4,4,4.00,3.00,4.00,3.75,0.00,3.50,4.00
CAF,Central African Republic,2016,0.50,1,1,0.00,0.50,0.00,0.00,2.00,1.50,1.25
KM,Comoros,2016,3.00,3,3,1.40,2.00,1.00,1.75,1.00,1.50,1.25
CHL,Chile,2016,3.50,3,4,2.80,3.00,2.00,2.75,0.00,2.00,1.25
CHN,China,2016,3.00,4,3,1.60,2.00,1.00,0.50,3.00,1.50,1.00
COL,Colombia,2016,3.00,3,3,2.40,,4.00,2.75,0.00,2.00,1.50
COG,"Congo, Rep.",2016,3.00,3,3,1.20,2.25,1.50,1.50,2.50,2.50,1.50
KOR,"Korea, Rep.",2016,4.00,4,4,3.80,3.25,4.00,4.00,0.00,,3.25
CRI,Costa Rica,2016,3.50,4,3,3.40,,3.00,2.75,0.50,2.00,2.50
CIV,Cote d'Ivoire,2016,2.00,2,3,1.80,1.75,2.50,1.75,1.50,1.50,0.75
HRV,Croatia,2016,4.00,4,3,2.20,3.00,3.00,2.25,2.00,1.00,1.75
CUB,Cuba,2016,3.50,4,3,2.20,1.50,2.00,1.25,1.00,1.00,1.00
CYP,Cyprus,2016,3.00,2,3,3.80,2.50,2.50,3.25,1.50,2.00,2.75
DNK,Denmark,2016,4.00,4,4,3.80,3.00,4.00,3.75,0.00,1.50,3.25
DOM,Dominican Republic,2016,3.00,4,2,1.60,3.25,1.50,1.00,0.50,1.00,1.75
ECU,Ecuador,2016,2.50,3,2,2.00,2.75,2.00,1.00,2.00,2.00,1.25
EGY,"Egypt, Arab Rep.",2016,2.50,2,0,1.60,2.00,2.00,0.75,2.00,1.50,2.50
ARE,United Arab Emirates,2016,4.00,4,4,2.00,,3.00,2.25,1.50,1.00,1.25
ER,Eritrea,2016,1.50,3,4,0.40,1.75,1.00,0.25,3.00,0.00,1.00
ESP,Spain,2016,4.00,4,2,2.40,3.00,3.00,2.50,0.00,,2.50
EST,Estonia,2016,4.00,4,4,3.40,2.50,3.50,3.50,0.00,2.00,4.00
USA,United States,2016,4.00,4,3,3.80,,4.00,3.75,0.00,2.50,4.00
ETH,Ethiopia,2016,3.00,3,4,1.80,2.50,2.50,2.00,3.00,3.00,0.25
FIN,Finland,2016,4.00,4,4,3.60,,3.00,3.50,0.50,,4.00
FRA,France,2016,3.50,4,2,3.80,3.00,4.00,3.75,0.00,2.00,3.75
GAB,Gabon,2016,3.00,3,3,1.60,2.25,2.00,1.00,2.00,0.50,2.00
GEO,Georgia,2016,3.50,3,3,,2.50,2.50,2.75,1.00,2.00,2.75
GHA,Ghana,2016,4.00,4,3,3.20,,2.50,3.00,1.00,2.00,1.25
GRC,Greece,2016,3.50,4,3,1.80,2.00,1.00,0.50,2.00,1.00,2.25
GTM,Guatemala,2016,2.00,2,2,2.00,,2.50,1.25,1.50,1.50,1.50
GIN,Guinea,2016,1.50,1,1,2.00,2.50,2.00,2.75,1.00,0.50,1.25
HTI,Haiti,2016,1.50,2,2,1.80,,2.00,1.75,1.00,,1.75
HND,Honduras,2016,1.50,3,1,1.80,,2.50,1.25,1.50,2.00,2.25
HKG,Hong Kong,2016,4.00,4,2,3.80,2.25,4.00,3.00,0.00,3.00,3.00
HUN,Hungary,2016,3.00,3,4,2.60,2.75,2.50,2.00,2.00,1.50,1.75
ISL,Iceland,2016,4.00,4,4,3.80,2.50,4.00,3.50,1.50,,3.00
IND,India,2016,3.00,3,1,2.20,,2.00,2.75,0.00,1.50,1.00
IDN,Indonesia,2016,3.00,3,3,1.80,2.25,2.00,1.75,1.00,0.50,1.00
IRN,"Iran, Islamic Rep.",2016,3.00,3,3,2.80,3.00,3.00,2.50,2.00,2.00,2.50
IRQ,Iraq,2016,0.50,1,0,,,1.00,1.00,2.50,2.00,3.00
IRL,Ireland,2016,3.50,4,3,2.60,,3.00,2.25,1.00,1.50,2.00
ISR,Israel,2016,3.50,4,3,3.80,2.25,4.00,4.00,0.00,2.00,3.25
ITA,Italy,2016,3.00,3,3,3.20,,2.00,3.50,0.00,2.00,4.00
JAM,Jamaica,2016,2.00,3,3,2.60,2.50,3.00,2.50,0.00,2.00,3.25
JPN,Japan,2016,4.00,4,4,3.00,3.25,4.00,2.75,0.00,,4.00
JOR,Jordan,2016,3.50,4,3,2.20,2.50,2.00,1.75,0.00,1.50,2.50
KAZ,Kazakhstan,2016,3.50,4,3,2.00,1.75,2.00,1.25,2.00,1.00,2.75
KEN,Kenya,2016,2.50,2,2,2.80,,3.00,2.50,0.00,1.50,0.75
KWT,Kuwait,2016,4.00,4,3,2.80,2.75,4.00,3.50,1.50,2.00,1.25
LAO,Lao PDR,2016,3.00,3,3,0.60,1.75,0.00,0.75,1.50,1.00,1.00
LVA,Latvia,2016,4.00,4,4,4.00,,3.50,2.25,0.50,0.00,3.50
LBN,Lebanon,2016,2.50,2,3,1.60,2.00,3.00,1.50,1.00,2.00,
LBY,Libya,2016,0.50,1,0,1.00,1.50,3.00,1.00,3.00,1.00,1.25
LTU,Lithuania,2016,4.00,4,4,3.00,3.50,4.00,2.50,0.00,,4.00
LUX,Luxembourg,2016,4.00,4,4,4.00,2.50,4.00,4.00,1.00,,3.00
MKD,Macedonia,2016,3.50,3,4,2.00,,2.50,2.25,3.00,2.50,2.75
MDG,Madagascar,2016,1.50,1,3,1.00,2.00,1.50,0.25,2.50,1.00,1.00
MYS,Malaysia,2016,3.00,3,3,2.40,2.75,2.00,2.50,1.00,1.50,2.00
MLI,Mali,2016,1.50,1,2,2.20,1.50,1.00,1.00,0.00,1.00,0.75
MLT,Malta,2016,3.50,4,3,3.20,2.25,3.00,3.00,2.00,,2.50
MAR,Morocco,2016,3.00,4,3,2.00,2.25,2.00,2.75,1.00,1.50,1.50
MRT,Mauritania,2016,4.00,4,3,1.00,1.25,2.50,0.75,2.00,1.00,0.75
MUS,Mauritius,2016,3.50,3,1,2.60,,3.00,2.25,2.00,2.00,3.00
MEX,Mexico,2016,2.50,4,4,2.00,,2.00,1.25,1.00,2.00,1.25
MDA,Moldova,2016,2.50,3,2,2.60,2.25,2.00,2.50,2.00,2.00,2.00
MNG,Mongolia,2016,3.50,2,2,2.20,2.00,1.00,2.50,1.00,2.50,1.00
MOZ,Mozambique,2016,2.50,3,3,1.80,,1.50,1.75,2.00,2.50,0.75
NAM,Namibia,2016,3.00,3,3,2.60,2.25,3.00,2.75,1.00,2.00,1.75
NPL,Nepal,2016,2.00,2,1,1.80,,1.00,0.75,2.00,1.50,1.50
NZL,New Zealand,2016,4.00,4,4,3.80,2.50,4.00,4.00,0.00,2.00,4.00
NIC,Nicaragua,2016,3.00,3,2,1.60,2.00,2.50,1.00,2.50,2.00,1.00
NER,Niger,2016,2.00,2,4,2.00,1.50,1.00,1.00,2.00,2.00,1.75
NGA,Nigeria,2016,2.00,3,0,1.60,,1.00,1.75,1.00,2.00,1.25
NOR,Norway,2016,4.00,4,4,3.80,,4.00,3.50,0.00,4.00,3.50
OMN,Oman,2016,4.00,4,4,2.20,2.75,3.00,2.25,1.00,2.50,2.50
UGA,Uganda,2016,3.50,4,3,2.00,,2.00,1.75,0.00,2.00,0.75
UZB,Uzbekistan,2016,4.00,4,4,1.00,1.25,3.00,1.75,2.00,1.50,1.75
PAK,Pakistan,2016,2.00,2,2,2.00,2.50,3.00,2.00,1.50,2.50,2.50
PAN,Panama,2016,3.50,4,3,2.00,,3.00,2.25,0.50,3.00,2.50
PRY,Paraguay,2016,2.50,2,3,1.00,,2.00,1.00,2.00,1.00,1.25
NLD,Netherlands,2016,4.00,4,3,4.00,3.00,4.00,4.00,0.00,,4.00
PER,Peru,2016,2.50,3,2,2.40,,3.00,2.50,0.00,2.00,1.50
PHL,Philippines,2016,2.00,3,3,2.20,2.25,3.00,2.50,1.00,1.50,1.50
POL,Poland,2016,4.00,4,4,2.60,2.50,2.50,2.25,2.00,2.00,2.00
PRT,Portugal,2016,3.50,4,3,3.20,2.25,3.00,2.50,1.00,2.00,3.25
QAT,Qatar,2016,4.00,4,4,2.80,3.00,2.50,1.50,1.00,0.50,2.00
ROU,Romania,2016,4.00,4,3,3.20,,2.00,2.25,0.00,1.00,3.50
GBR,United Kingdom,2016,4.00,4,3,3.80,,4.00,3.75,0.00,,3.75
RUS,Russian Federation,2016,3.50,4,3,2.40,2.50,3.00,2.50,2.00,2.50,2.00
RWA,Rwanda,2016,3.00,3,3,2.00,2.25,2.00,0.25,0.00,1.00,2.50
SLV,El Salvador,2016,3.00,2,2,1.80,,2.50,1.25,2.00,2.00,2.25
SEN,Senegal,2016,3.00,3,4,2.40,,2.00,2.75,0.50,1.00,2.75
SRB,Serbia,2016,4.00,4,3,1.40,2.50,1.50,1.00,2.00,1.50,2.50
SGP,Singapore,2016,4.00,4,4,3.60,,4.00,3.75,0.00,4.00,2.75
SVK,Slovak Republic,2016,4.00,4,4,2.60,2.75,3.00,3.00,0.50,2.50,3.50
SVN,Slovenia,2016,4.00,4,3,2.80,3.00,4.00,2.75,0.00,3.00,4.00
SOM,Somalia,2016,0.00,0,0,1.00,0.50,0.50,0.25,3.00,0.00,1.25
SDN,Sudan,2016,3.00,4,2,2.60,2.50,1.00,1.50,1.00,3.00,1.50
SSD,South Sudan,2016,0.00,2,3,0.00,0.00,0.00,0.00,0.00,0.00,1.00
LKA,Sri Lanka,2016,3.50,0,4,2.00,2.75,2.50,2.25,2.00,2.00,1.75
SWE,Sweden,2016,4.00,4,4,3.60,3.00,4.00,3.50,0.00,2.00,3.25
CHE,Switzerland,2016,4.00,4,4,3.60,3.00,3.50,3.50,0.00,3.50,3.00
TJK,Tajikistan,2016,3.00,3,3,1.00,1.50,2.00,1.00,1.00,1.00,2.00
TWN,Taiwan,2016,3.50,4,3,3.40,3.00,3.00,3.00,0.00,2.50,2.00
TZA,Tanzania,2016,3.50,4,2,1.40,2.00,2.50,2.00,2.00,2.50,1.00
TCD,Chad,2016,3.00,3,3,1.00,1.75,3.00,0.25,3.00,1.00,1.75
CZE,Czech Republic,2016,3.50,4,4,3.00,3.00,3.00,2.50,1.00,1.50,2.50
THA,Thailand,2016,3.50,3,3,3.00,2.25,2.50,3.00,1.00,3.00,3.00
TGO,Togo,2016,4.00,4,3,2.00,2.50,2.50,1.50,1.00,0.50,1.50
TUN,Tunisia,2016,2.50,2,1,2.00,2.25,2.00,1.75,1.00,,1.25
TUR,Turkey,2016,2.00,2,2,1.60,2.75,3.00,2.25,2.50,1.50,0.50
TKM,Turkmenistan,2016,4.00,4,4,,1.50,,,,1.00,2.25
UKR,Ukraine,2016,2.00,2,1,1.80,1.50,2.00,2.25,2.50,1.50,1.75
URY,Uruguay,2016,3.50,4,2,2.80,2.25,2.50,2.75,1.00,3.00,2.25
VEN,"Venezuela, RB",2016,0.00,0,2,0.80,1.25,1.00,0.75,2.00,2.50,1.00
VNM,Vietnam,2016,4.00,4,3,1.80,2.25,3.00,1.75,1.00,0.50,0.50
ZWE,Zimbabwe,2016,2.00,3,4,1.00,1.75,1.00,1.00,1.00,1.00,1.00
